aux,intj,0
aux,adj,0
aux,punct,0
aux,pron,0
aux,verb,0
aux,propn,0
aux,adv,0
adj,aux,0
adj,punct,0
adj,noun,0
intj,aux,0
intj,adv,0
intj,punct,0
pron,verb,2
pron,adv,0
pron,det,0
pron,propn,0
pron,adp,0
pron,aux,0
pron,noun,0
pron,punct,0
pron,cconj,0
verb,part,0
verb,det,0
verb,aux,0
verb,adp,0
verb,pron,0
verb,adv,2
verb,cconj,0
verb,punct,0
verb,noun,0
part,verb,0
det,noun,0
det,pron,0
det,propn,0
det,verb,0
noun,det,0
noun,adp,0
noun,num,0
noun,adj,0
noun,aux,0
noun,pron,0
noun,sconj,0
noun,det,0
noun,adv,0
noun,punct,0
noun,verb,0
adp,propn,0
adp,punct,0
adp,adj,0
adp,pron,0
adp,verb,0
adp,adv,0
adp,noun,2
propn,punct,0
propn,mark,0
propn,adp,0
propn,aux,0
propn,pron,0
propn,punct,0
adv,verb,0
adv,noun,0
adv,aux,0
adv,adj,0
adv,adp,2
adv,pron,0
adv,punct,0
adv,intj,0
num,noun,0
num,adp1,0
num,punct,0
adp1,num,0
sconj,aux,0
sconj,noun,0
sconj,punct,0
cconj,verb,0
cconj,pron,0
cconj,punct,0
punct,cconj,0
punct,propn,0
punct,adj,0
adj,adv,0
